country,year,Rule_of_Law,Regulatory_Quality,Govt_Effectiveness,Control_of_Corruption,Political_Stability,Voice_Accountability,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD,country_name
GBR,2000,1.7176608,1.9218926,1.7413326,2.0302113,1.097531,1.3877258,154.163358398166,166864319535.916,1671597821152.97,Reino Unido
GBR,2001,,,,,,,129.787370279399,-43924309882.3498,1656171009068.66,Reino Unido
GBR,2002,1.6490953,1.920474,1.7830545,1.9357319,0.548758,1.4669329,103.666935952575,-1134807154.82299,1790536570743.41,Reino Unido
GBR,2003,1.6258036,1.8697018,1.6613602,1.9558108,0.4196093,1.4666017,117.688207622641,54489461946.7069,2061227755102.04,Reino Unido
GBR,2004,1.5646583,1.9029927,1.5846989,1.8359316,0.3484335,1.4384235,115.892551894257,37715033033.2978,2429774807762.72,Reino Unido
GBR,2005,1.5576382,1.8447986,1.8367501,1.9020685,0.3958598,1.4461899,119.864709043085,-13204027853.1614,2551361818181.82,Reino Unido
GBR,2006,1.6182155,2.0036658,1.7080687,1.7309828,0.6600601,1.4565018,139.043106242558,-55987613154.2232,2719558417663.29,Reino Unido
GBR,2007,1.5830601,1.892217,1.6664793,1.6278157,0.6958935,1.4133656,123.891584653248,-14248622355.1755,3104699879951.98,Reino Unido
GBR,2008,1.4724907,1.7274858,1.7054858,1.573173,0.6464798,1.3927903,63.4293117399204,101030864400.231,2945251838235.29,Reino Unido
GBR,2009,1.4804987,1.5391758,1.4845712,1.3683606,0.4928367,1.4046597,115.110417691876,27351681975.6501,2429358155475.93,Reino Unido
GBR,2010,1.6337557,1.5460857,1.4807208,1.3760491,0.5937485,1.372089,107.61553654272,-53774646929.5325,2496740681057.14,Reino Unido
GBR,2011,1.4431892,1.5667449,1.4681563,1.4486391,0.4317992,1.4256415,109.592307961893,-2414102199.17427,2675590034128.66,Reino Unido
GBR,2012,1.4985203,1.6452124,1.5077865,1.4826832,0.4684142,1.4159606,121.028819426289,5021145017.5703,2719715961539.83,Reino Unido
GBR,2013,1.5089561,1.7276964,1.4464475,1.504608,0.4599947,1.4097356,141.115984497304,43508651765.5527,2796908333283.39,Reino Unido
GBR,2014,1.5934577,1.7334142,1.6582915,1.5201669,0.5436244,1.3804751,115.736607371526,32561270309.7466,3085362169410.29,Reino Unido
GBR,2015,1.6608814,1.8137278,1.6362652,1.6542704,0.537112,1.4627829,,93158595151.382,2945579890258.46,Reino Unido
GBR,2016,1.6131954,1.6810285,1.6528388,1.7599161,0.4498582,1.468304,,-118649446909.515,2706807606538.73,Reino Unido
GBR,2017,1.6084241,1.6694233,1.5660677,1.8161165,0.4406625,1.4237022,,110094072751.534,2699118387873.1,Reino Unido
GBR,2018,1.4854975,1.6748823,1.5248207,1.8043714,0.2825929,1.3755468,,296700617.1852,2897028009916.05,Reino Unido
GBR,2019,1.4384752,1.7134917,1.3966716,1.7674285,0.5681497,1.3077601,,-27085082807.7727,2875710080015.3,Reino Unido
GBR,2020,1.3554927,1.6013639,1.3728014,1.7210258,0.5102213,1.3173309,,49988916802.6458,2724001478304.59,Reino Unido
GBR,2021,1.3061844,1.600758,1.3289695,1.6641761,0.4363658,1.2930083,118.935321441875,-2881019690.72679,3194559188925.93,Reino Unido
GBR,2022,1.2994581,1.6491931,1.2932604,1.6352771,0.3676912,1.3180973,97.3198877208869,-39787327232.5049,3181244350465.41,Reino Unido
GBR,2023,1.2703547,1.5889865,1.1378943,1.4745753,0.3683427,1.2519674,,-32039697378.4906,3420796653789.08,Reino Unido
GBR,2024,1.269914,1.5112377,1.1849099,1.5097548,0.2577085,1.3006116,,-4647965639.63956,3686033044482.13,Reino Unido
IND,2000,0.2604152,-0.3746035,-0.5480326,-0.2110909,-0.9733951,0.2627985,48.1747500764228,2481311864.49469,468395521654.458,Índia
IND,2001,,,,,,,30.6467519464107,2949583338.55138,485440139204.171,Índia
IND,2002,-0.0434055999999999,-0.389617799999999,-0.4818453,-0.5564837,-1.2778882,0.3144249,33.4380606971708,1063391576.38028,514939140318.756,Índia
IND,2003,0.0275527,-0.441382,-0.4274791,-0.547555599999999,-1.42092669999999,0.332765,50.8465706710106,8216187274.33701,607700687237.318,Índia
IND,2004,0.0575144,-0.2047551,-0.1952701,-0.3879804,-1.0339705,0.3455787,58.597294477825,9053979533.38133,709152728830.775,Índia
IND,2005,0.1692788,-0.177473699999999,-0.1809739,-0.4094793,-0.8561375,0.4298512,76.1521145313341,12151206547.739,820383763511.445,Índia
