Date,DFF,SOFR,SONIA,T10Y2Y
2016-08-23,0.4,,0.2138,0.81
2016-08-24,0.4,,0.2153,0.8
2016-08-25,0.4,,0.2174,0.8
2016-08-26,0.4,,0.2152,0.78
2016-08-27,0.4,,0.2152,0.78
2016-08-28,0.4,,0.2152,0.78
2016-08-29,0.4,,0.2152,0.76
2016-08-30,0.4,,0.2161,0.77
2016-08-31,0.3,,0.2018,0.78
2016-09-01,0.4,,0.2144,0.79
2016-09-02,0.4,,0.214,0.8
2016-09-03,0.4,,0.214,0.8
2016-09-04,0.4,,0.214,0.8
2016-09-05,0.4,,0.2168,0.8
2016-09-06,0.4,,0.2159,0.81
2016-09-07,0.4,,0.2173,0.8
2016-09-08,0.4,,0.2189,0.83
2016-09-09,0.4,,0.219,0.88
2016-09-10,0.4,,0.219,0.88
2016-09-11,0.4,,0.219,0.88
2016-09-12,0.4,,0.2198,0.89
2016-09-13,0.4,,0.22,0.93
2016-09-14,0.4,,0.2197,0.93
2016-09-15,0.4,,0.2156,0.97
2016-09-16,0.4,,0.2141,0.93
2016-09-17,0.4,,0.2141,0.93
2016-09-18,0.4,,0.2141,0.93
2016-09-19,0.4,,0.2134,0.91
2016-09-20,0.4,,0.213,0.9
2016-09-21,0.4,,0.2155,0.87
2016-09-22,0.4,,0.2073,0.84
2016-09-23,0.4,,0.2152,0.85
2016-09-24,0.4,,0.2152,0.85
2016-09-25,0.4,,0.2152,0.85
2016-09-26,0.4,,0.2124,0.83
2016-09-27,0.4,,0.2139,0.81
2016-09-28,0.4,,0.2144,0.82
2016-09-29,0.4,,0.2136,0.83
2016-09-30,0.29,,0.1624,0.83
2016-10-01,0.29,,0.1624,0.83
2016-10-02,0.29,,0.1624,0.83
2016-10-03,0.4,,0.2139,0.83
2016-10-04,0.4,,0.2139,0.87
2016-10-05,0.4,,0.2104,0.87
2016-10-06,0.4,,0.2157,0.89
2016-10-07,0.4,,0.2134,0.9
2016-10-08,0.4,,0.2134,0.9
2016-10-09,0.4,,0.2134,0.9
2016-10-10,0.4,,0.2166,0.9
2016-10-11,0.41,,0.2148,0.9
2016-10-12,0.41,,0.2174,0.92
2016-10-13,0.41,,0.214,0.9
2016-10-14,0.41,,0.2109,0.96
2016-10-15,0.41,,0.2109,0.96
2016-10-16,0.41,,0.2109,0.96
2016-10-17,0.41,,0.2113,0.96
2016-10-18,0.41,,0.2112,0.93
2016-10-19,0.41,,0.2136,0.95
2016-10-20,0.41,,0.2125,0.92
2016-10-21,0.41,,0.2112,0.9
2016-10-22,0.41,,0.2112,0.9
2016-10-23,0.41,,0.2112,0.9
2016-10-24,0.41,,0.2115,0.93
2016-10-25,0.41,,0.2117,0.91
2016-10-26,0.41,,0.2105,0.93
